 182	136942	88 617	88598	1 510	3 034
 183	154518	98 820	98767	2 471	3 718
 184	167323	104 079	104044	2 131	4 276
 185	155828	121 254	121243	2 663	2 343
 186	149383	108 970	108962	1 967	2 959
 187	158419	116 611	116493	2 375	3 951

 188	192578	127 996	127960	2 509	6 652
 189	142054	120 422	120409	5 993	3 334
 190	155125	131 000	130978	4 447	3 359
 191	176552	137 209	137181	4 850	4 131
 192	161527	137 977	137942	8 284	3 331
 193	147924	108 302	108295	3 187	4 175
 194	144999	113 999	113984	4 861	3 005

 195	153265	101 414	101378	1 970	7 289
 196	146726	96 162	96127	1 740	6 538
 197	145500	113 537	113507	3 745	3 956
 198	181884	149 136	149100	6 971	5 605
 199	148757	105 723	105706	2 804	4 982
 200	183646	144 149	144120	4 464	4 812
 201	168496	126 735	126688	5 161	4 955

 202	182383	113 669	113616	2 452	4 210
 203	169730	136 248	136222	3 892	2 013
 204	168521	133 110	133085	5 300	1 745
 205	170643	130 703	130679	5 250	2 675

 206	169149	113 748	113719	1 728	7 769
 207	177188	136 159	136130	4 327	5 646
 208	179206	141 930	141896	4 452	4 128
 209	174499	135 403	135372	3 131	4 802
 210	166897	128 920	128895	2 739	4 742
 211	147501	126 887	126881	2 804	2 762

 212	151204	92 404	92359	1 560	6 636
 213	174609	101 631	101580	1 759	7 438
 214	160189	98 916	98840	1 336	8 658
 215	140839	89 785	89755	1 264	6 692
 216	166465	103 215	103168	2 083	8 121
 217	166758	101 269	101203	1 563	6 861
 218	171369	98 900	98832	1 557	6 787
 219	192889	116 527	116511	1 957	8 467
 220	171581	108 104	108036	1 789	8 244
 221	183406	111 251	111205	2 261	8 222
 222	158109	95 774	95722	1 456	6 913
 223	149349	101 747	101698	0 986	8 340

 224	150350	95 087	95045	1 445	4 535
 225	146868	93 771	93741	1 545	4 072


 333	121201	30611	30598	349	1199
